修改跨服活动状态，活动id：	修改跨服活動狀態，活動id：
，状态	，狀態
礼包编辑出错！	禮包編輯出錯！
礼包码	禮包碼
礼包码：	禮包碼：
领取次数：	領取次數：
导出异常	匯出異常
关闭流异常	關閉流異常
批量生成礼包码出错	批量生成禮包碼出錯
条	條
服务器id 错误！	伺服器id 錯誤！
删除审核	刪除審核
审核添加资源	審核添加資源
服务器在线	伺服器線上
服务器不在线	伺服器不線上
角色不存在！	角色不存在！
删除gm审核	刪除gm審核
审核gm指令	審核gm指令
封角色管理	封角色管理
角色解禁	角色解禁
封禁管理	封禁管理
解禁	解禁
禁言管理	禁言管理
角色禁言解禁	角色禁言解禁
玩家不在该服	玩家不在該服
玩家不在白名单	玩家不在白名單
删除模拟充值审核	刪除模擬充值審核
网络异常！	網路異常！
审核模拟充值指令	審核類比充值指令
全服发送邮件	全服發送郵件
批量玩家邮件	批量玩家郵件
指定玩家邮件	指定玩家郵件
中控	中控
删除邮件审核	刪除郵件審核
发送审核邮件	發送審核郵件
删除成功	刪除成功
删除失败的服务器id：	刪除失敗的伺服器id：
邮件任务删除功能	郵件任務刪除功能
成功 部分服务器查询失败	成功, 部分伺服器查詢失敗
查询成功，但是结果为空	查詢成功，但是結果為空
已存在	已存在
新增白名单	新增白名單
玩家不存在！	玩家不存在！
删除白名单	刪除白名單
删除白名单预警记录	刪除白名單預警記錄
编辑白名单预警记录	編輯白名單預警記錄
无	無
修改账号	修改帳號
的登录设备，旧设备为：	的登錄設備，舊設備為：
修改为：	修改為：
还有属于该分区的服务器存在，不能删除	還有屬於該分區的伺服器存在，不能刪除
渠道分区 新增	管道分區 新增
渠道服务器 新增	管道伺服器 新增
渠道分区 删除	管道分區 刪除
渠道服务器 删除	管道伺服器 刪除
渠道服务器 增加	管道伺服器 增加
服务器 增加	伺服器 增加
服务器 编辑	伺服器 編輯
服务器状态 修改	伺服器狀態 修改
服务器 删除	伺服器 刪除
提审服版本	提審服版本
全服	全服
白名单 增加	白名單 增加
白名单 删除	白名單 刪除
踢玩家下线	踢玩家下線
服务器已关闭	伺服器已關閉
失联了	失聯了
失败的服务器id：	失敗的伺服器id：
所有服	所有服
检查游戏服连接	檢查遊戲服連接
删除的活动id 错误！	刪除的活動id 錯誤！
失败	失敗
获得	獲得
个！	個！
新增用户	新增用戶
编辑用户	編輯用戶
成功！	成功！
删除用户	刪除用戶
成功	成功
失败！	失敗！
添加物品	添加物品
扣除物品	扣除物品
添加 添加物品审核记录	添加 添加物品審核記錄
角色id 或者用户名	角色id 或者用戶名
物品	物品
添加物品审核列表	添加物品審核列表
所有 (0:待审核，1已审核，2发送失败，3已发送	所有 (0:待審核，1已審核，2發送失敗，3已發送
增加审核	增加審核
用户名	用戶名
用户类型	用戶類型
服务器	伺服器
指令	指令
添加充值记录	添加充值記錄
所有	所有
待审核	待審核
发送失败	發送失敗
已发送	已發送
中控管理后台	中控管理後臺
编辑活动 (全服响应较慢，请慎选) 特别说明：全选（所有开启中的游戏服）全服：（整个游戏的服务器，也包含将来要增加的服务器）	編輯活動 (全服響應較慢，請慎選) 特別說明：全選（所有開啟中的遊戲服）全服：（整個遊戲的伺服器，也包含將來要增加的伺服器）
新增活动 (全服响应较慢，请慎选) 特别说明：全选（所有开启中的游戏服）全服：（整个游戏的服务器，也包含将来要增加的服务器）	新增活動 (全服響應較慢，請慎選) 特別說明：全選（所有開啟中的遊戲服）全服：（整個遊戲的伺服器，也包含將來要增加的伺服器）
服务器id：	伺服器id：
不填是无限制	不填是無限制
最小等级	最小等級
最大等级	最大等級
最小战力	最小戰力
最大战力	最大戰力
天宠数量	天寵數量
最小数量	最小數量
最大数量	最大數量
充值金额(元	充值金額(元
最小金额	最小金額
最大金额	最大金額
奖励批次	獎勵批次
类型1 (黑市活动	類型1 (黑市活動
类型2 (黑市活动	類型2 (黑市活動
类型3 (黑市活动	類型3 (黑市活動
掉落库(珍珑阁	掉落庫(珍瓏閣
积分奖励(珍珑阁	積分獎勵(珍瓏閣
排行榜奖励(珍珑阁	排行榜獎勵(珍瓏閣
掉落库(游乐币	掉落庫(遊樂幣
掉落库(纪念币	掉落庫(紀念幣
圈数奖励批次	圈數獎勵批次
排行榜奖励批次	排行榜獎勵批次
专属客服	專屬客服
英文逗号作为分隔符	英文逗號作為分隔符號
奖励预览	獎勵預覽
格式：	格式：
奖励描述	獎勵描述
奖励	獎勵
开启方式	開啟方式
持续天数	持續天數
参数	參數
类型1请输入正整数！	類型1請輸入正整數！
类型2请输入正整数！	類型2請輸入正整數！
类型3请输入正整数！	類型3請輸入正整數！
类型1 输入的数量大于该类型的最大数， 最大数：	類型1 輸入的數量大於該類型的最大數， 最大數：
类型2 输入的数量大于该类型的最大数，最大数：	類型2 輸入的數量大於該類型的最大數，最大數：
类型3 输入的数量大于该类型的最大数，最大数：	類型3 輸入的數量大於該類型的最大數，最大數：
黑市请输入个数和等于6的商品！	黑市請輸入個數和等於6的商品！
请输入vip专属客服！	請輸入vip專屬客服！
请输入奖励物品内容！	請輸入獎勵物品內容！
请输入vip奖励描述内容！	請輸入vip獎勵描述內容！
结束时间应当大于开始时间	結束時間應當大於開始時間
开服天数请输入正整数！	開服天數請輸入正整數！
最小等级请输入正整数！	最小等級請輸入正整數！
最小等级不能大于200级！	最小等級不能大於200級！
最大等级请输入正整数！	最大等級請輸入正整數！
最大等级不能大于200级！	最大等級不能大於200級！
最大等级不能小于最小等级！	最大等級不能小於最小等級！
最小VIP等级请输入正整数！	最小VIP等級請輸入正整數！
最小VIP等级不能大于18级！	最小VIP等級不能大於18級！
最大VIP等级请输入正整数！	最大VIP等級請輸入正整數！
最大VIP等级不能大于18级！	最大VIP等級不能大於18級！
最大VIP等级不能小于最小VIP等级！	最大VIP等級不能小於最小VIP等級！
最小战力请输入正整数！	最小戰力請輸入正整數！
最小战力不能大于	最小戰力不能大於
最大战力请输入正整数！	最大戰力請輸入正整數！
最大战力不能大于	最大戰力不能大於
最大战力不能等于最小战力！	最大戰力不能等於最小戰力！
最少天宠请输入正整数！	最少天寵請輸入正整數！
最少天宠不能大于201！	最少天寵不能大於201！
最多天宠请输入正整数！	最多天寵請輸入正整數！
最多天宠不能大于201！	最多天寵不能大於201！
最多天宠不能等于最少天宠！	最多天寵不能等於最少天寵！
最小金额请输入正整数！	最小金額請輸入正整數！
最小金额不能大于	最小金額不能大於
最大金额请输入正整数！	最大金額請輸入正整數！
最大金额不能大于	最大金額不能大於
！	！
最大金额不能等于最小金额！	最大金額不能等於最小金額！
警告！你是否确认选中全服操作！？	警告！你是否確認選中全服操作！？
运营活动管理 (全服响应较慢，请慎选) 特别说明：全选（所有开启中的游戏服）全服：（整个游戏的服务器，也包含将来要增加的服务器）	運營活動管理 (全服響應較慢，請慎選) 特別說明：全選（所有開啟中的遊戲服）全服：（整個遊戲的伺服器，也包含將來要增加的伺服器）
活动名称	活動名稱
活动类型	活動類型
活动渠道	活動管道
方式	方式
黑市概率(银两/金币/元宝	黑市概率(銀兩/金幣/元寶
自然日	自然日
开服天数	開服天數
非黑市活动	非黑市活動
跨服活动开关	跨服活動開關
活动：	活動：
逐鹿战场	逐鹿戰場
是否跨服：	是否跨服：
不跨服	不跨服
是否要修改跨服状态？	是否要修改跨服狀態？
新增礼包关闭	新增禮包關閉
关闭礼包活动管理	關閉禮包活動管理
是否开启	是否開啟
新增关闭	新增關閉
你是否确认开启该礼包码！？	你是否確認開啟該禮包碼！？
请选择的对应礼包活动！	請選擇的對應禮包活動！
礼包类型	禮包類型
礼包总数不能小于	禮包總數不能小於
礼包总数不能小于原来的总数！原条数 ：	禮包總數不能小於原來的總數！原條數 ：
新增礼包	新增禮包
物品一	物品一
物品二	物品二
物品三	物品三
物品四	物品四
物品五	物品五
渠道选择	管道選擇
序号总数	序號總數
礼包名过长，不能超过40个字符 ！	禮包名過長，不能超過40個字元 ！
活动名过长，不能超过40个字符 ！	活動名過長，不能超過40個字元 ！
礼包总数过大！	禮包總數過大！
请选择对应渠道！	請選擇對應管道！
请输入礼包名！	請輸入禮包名！
请输入活动名！	請輸入活動名！
请输入礼包总条数！	請輸入禮包總條數！
礼包码管理	禮包碼管理
礼包名	禮包名
所属活动	所屬活動
礼包物品	禮包物品
领取次数	領取次數
礼包码总数	禮包碼總數
礼包码剩余	禮包碼剩餘
礼包状态	禮包狀態
一码多次	一碼多次
一码一次	一碼一次
无效	無效
有效	有效
批量生成	批量生成
导出	匯出
你是否确认下载该礼包码！？	你是否確認下載該禮包碼！？
请选择一个需要导出的礼包！	請選擇一個需要匯出的禮包！
请选择需要导出的礼包！	請選擇需要匯出的禮包！
请选择一个需要编辑的礼包！	請選擇一個需要編輯的禮包！
请选择需要编辑的礼包！	請選擇需要編輯的禮包！
你是否确认批量生成礼包码吗！？	你是否確認批量生成禮包碼嗎！？
批量新增成功！	批量新增成功！
请选择一个对应的礼包！	請選擇一個對應的禮包！
请选择需要对应的礼包！	請選擇需要對應的禮包！
